timestamp_iso8601,device_id,attack_class,action,outcome
2026-06-03T09:45:19,1138569265,ICMP_Flood,LOG_ONLY,applied
2026-06-03T09:45:21,3419599998,DDoS,LOG_ONLY,applied
2026-06-03T09:45:21,1931252253,DDoS,LOG_ONLY,applied
2026-06-03T09:45:21,1933302696,DDoS,LOG_ONLY,applied
2026-06-03T09:45:22,4086576213,DDoS,LOG_ONLY,applied
2026-06-03T09:45:22,2669312992,DDoS,LOG_ONLY,applied
2026-06-03T09:46:34,2790615612,DoS,RATE_LIMIT,applied
2026-06-03T09:46:36,1138569265,ICMP_Flood,RATE_LIMIT,applied
2026-06-03T09:46:39,3419599998,DDoS,DEVICE_ISOLATE,applied
2026-06-03T09:46:39,1931252253,DDoS,DEVICE_ISOLATE,applied
2026-06-03T09:46:39,1933302696,DDoS,DEVICE_ISOLATE,applied
2026-06-03T09:46:40,4086576213,DDoS,DEVICE_ISOLATE,applied
2026-06-03T09:46:40,2669312992,DDoS,DEVICE_ISOLATE,applied
2026-06-08T15:58:58,2790615612,DoS,LOG_ONLY,applied
2026-06-08T15:58:59,1138569265,ICMP_Flood,LOG_ONLY,applied
2026-06-08T15:59:01,3419599998,DDoS,LOG_ONLY,applied
2026-06-08T15:59:01,1931252253,DDoS,LOG_ONLY,applied
2026-06-08T15:59:01,1933302696,DDoS,LOG_ONLY,applied
2026-06-08T15:59:01,4086576213,DDoS,LOG_ONLY,applied
2026-06-08T15:59:02,2669312992,DDoS,LOG_ONLY,applied
2026-06-15T14:56:32,2790615612,DoS,LOG_ONLY,applied
2026-06-15T14:56:34,1138569265,ICMP_Flood,LOG_ONLY,applied
2026-06-15T14:56:35,3419599998,DDoS,LOG_ONLY,applied
2026-06-15T14:56:35,1931252253,DDoS,LOG_ONLY,applied
2026-06-15T14:56:36,1933302696,DDoS,LOG_ONLY,applied
2026-06-15T14:56:36,4086576213,DDoS,LOG_ONLY,applied
2026-06-15T14:56:36,2669312992,DDoS,LOG_ONLY,applied
